lat,lon,value
33.5,-112.25,6
33.5,-111.95,8
33.57,-112.17,4
34.72,-111.56,3
32.5,-111.27,1
33.42,-112.04,5
33.48,-112,52
34.82,-111.78,1
33.49,-112.12,110
33.56,-111.99,2
33.42,-112.06,1
33.16,-111.81,1
33.59,-111.9,5
33.53,-112.17,1
35.96,-112.13,2
33.28,-111.96,1
33.01,-111.77,1
33.12,-110.12,7
33.33,-111.97,10
34.64,-114.29,8
33.15,-111.46,2
33.53,-112.11,23
33.48,-112.36,21
33.49,-112.28,1
32.98,-112.12,3
33.33,-111.99,5
32.58,-110.93,1
33.43,-112.42,5
33.78,-111.99,2
34.52,-112.39,1
31.96,-110.94,1
33.69,-112.16,2
32.78,-113.57,1
33,-111.97,1
33.71,-112.14,3
32.69,-114.11,1
33.5,-111.93,46
36.87,-111.52,1
33.53,-112.19,7
33.38,-112.06,17
33.63,-112.06,13
34.66,-112,2
33.48,-112.02,5
33.01,-111.48,1
34.58,-112.37,6
33.66,-112.14,8
33.63,-111.97,2
32.26,-110.73,1
33.66,-112.42,1
33.38,-112.14,5
33.66,-112.16,5
33.99,-112.14,1
33.27,-112.18,1
35.21,-113.25,1
33.38,-112.12,1
35.22,-114.13,1
33.6,-112.07,5
33.68,-111.98,20
34.03,-112.83,1
33.63,-111.87,7
33.38,-112.1,4
33.44,-112.03,2
33.6,-112.09,1
33.44,-111.9,2
33.6,-111.88,1
33.75,-112.11,6
32.95,-111.66,9
33.59,-112.42,2
33.43,-112.44,3
33.21,-111.9,1
32.01,-110.77,3
33.63,-111.89,7
33.63,-111.93,5
32.98,-111.75,1
33.63,-112.39,2
33.54,-112.16,6
33.43,-112.48,1
34.88,-114.64,1
33.63,-111.95,5
32.99,-111.75,1
33.56,-112.27,2
33.63,-111.99,1
33.26,-111.99,1
33.68,-112.01,4
33.56,-112.25,3
36.44,-110.76,1
33.79,-111.98,1
33.68,-112.03,14
34.31,-111.04,1
33.33,-111.85,3
33.49,-112.24,14
33.67,-112,2
33.33,-111.83,7
33.68,-112.12,2
33.3,-112.01,1
33.21,-111.92,1
33.48,-111.94,5
33.48,-112.05,5
33.6,-112.11,14
31.94,-110.28,1
33.71,-112.18,2
33.26,-111.85,8
32.71,-113.81,1
33.49,-112.18,11
34.41,-112.07,1
33.35,-112.15,1
33.56,-112.21,10
32.71,-113.83,1
34.38,-111.46,8
33.3,-111.81,2
35.5,-114.34,2
33.3,-112.11,1
35.54,-114.37,1
33.16,-112.01,1
33.6,-112.15,7
33.64,-112.36,6
33.85,-111.48,2
35.92,-114.64,1
33.6,-112.13,9
34.72,-111.91,28
34.84,-111.83,1
35.19,-113.83,1
33.6,-112.35,1
33.85,-112.29,2
33.3,-111.93,3
33.48,-112.25,18
33.58,-112.35,1
33.64,-112.24,7
33.46,-112.01,7
34.99,-110,1
33.25,-111.88,5
33.19,-112.66,1
33.64,-112.4,3
32.82,-111.91,1
33.46,-112.03,7
33.39,-111.93,21
33.7,-112.11,3
33.64,-112.09,3
33.46,-112.05,11
33.39,-111.91,34
33.58,-112.25,21
33.32,-112,21
33.64,-112.05,5
33.73,-111.97,2
32.85,-113.26,1
32.83,-112.23,1
33.55,-112.11,11
33.45,-112.42,12
33.61,-112.18,9
33.35,-112.13,2
33.64,-112.01,8
35.25,-112.11,1
33.45,-111.91,2
33.48,-112.27,2
33.55,-112.17,10
34.16,-111.33,1
33.7,-112.21,1
33.44,-112.39,1
34.16,-112.86,1
32.39,-111.13,1
34.51,-112.52,1
33.67,-112.11,2
33.75,-112.33,2
33.7,-112.44,1
33.46,-112.37,3
33.64,-112.13,4
33.61,-112.16,4
35.18,-111.37,1
33.85,-112.31,1
33.14,-110.13,2
33.67,-112.23,1
33.55,-112.19,54
33.61,-112.1,4
33.67,-112.21,16
33.64,-112.17,4
33.29,-111.95,2
33.69,-112.28,7
32.9,-111.69,2
33.67,-112.27,4
33.21,-111.8,17
36.99,-111.56,6
33.67,-112.03,9
33.32,-112.63,1
33.46,-112.29,6
33.42,-112.3,2
33.08,-112.04,15
34.94,-110.3,1
34.37,-112.11,1
33.67,-112.13,18
33.42,-112.32,5
33.46,-112.35,9
33.49,-112.34,5
33.61,-112.14,14
35.06,-109.77,1
33.73,-112.48,1
33.54,-113.21,1
33.61,-112.34,8
33.46,-112.39,3
33.21,-111.76,3
33.58,-111.86,2
33.42,-112.42,2
33.3,-111.89,4
33.61,-112.32,2
33.48,-112.17,6
33.25,-111.86,8
33.55,-111.9,11
33.82,-111.89,2
33.46,-112.19,4
33.58,-111.88,3
33.67,-112.07,6
33.42,-112.44,4
33.46,-112.17,3
33.9,-112.3,1
32.81,-111.68,1
33.67,-112.01,3
33.58,-112.13,7
33.55,-111.94,1
33.76,-111.95,1
33.51,-112,1
34.14,-109.23,2
33.66,-111.96,8
33.34,-111.9,5
32.64,-110.68,1
33.66,-111.94,1
33.34,-111.92,7
33.47,-112.06,22
33.42,-112.03,7
33.44,-112.35,3
33.56,-112.06,1
33.34,-111.94,2
33.25,-111.82,2
32.6,-110.76,4
32.77,-111.62,1
32.91,-111.67,1
33.58,-112.05,2
33.47,-111.97,14
34.53,-111.91,1
33.23,-111.83,4
34.28,-110.13,1
33.5,-112.98,2
34.9,-113.66,1
33.34,-111.84,3
33.53,-112.14,15
34.14,-109.21,1
33.66,-111.9,1
33.22,-111.83,17
33.53,-112.16,3
32.01,-111.67,2
33.58,-111.66,1
33.03,-112.06,2
33.47,-112.2,1
33.37,-111.96,64
33.41,-112.25,1
32.89,-111.59,36
33.43,-112.07,1
